일자,요일,훈련시간,교과목
22-10-25,화,09:10~10:00,입학식
22-10-25,화,10:10~11:00,재량교과
22-10-25,화,11:10~12:00,웹프로그래밍 실습
22-10-25,화,12:10~13:00,웹프로그래밍 실습
22-10-25,화,14:00~14:50,웹프로그래밍 실습
22-10-25,화,15:00~15:50,웹프로그래밍 실습
22-10-26,수,09:10~10:00,웹프로그래밍 실습
22-10-26,수,10:10~11:00,웹프로그래밍 실습
22-10-26,수,11:10~12:00,웹프로그래밍 실습
22-10-26,수,12:10~13:00,웹프로그래밍 실습
22-10-26,수,14:00~14:50,웹프로그래밍 실습
22-10-26,수,15:00~15:50,웹프로그래밍 실습
22-10-26,수,16:00~16:50,웹프로그래밍 실습
22-10-27,목,09:10~10:00,요구사항 분석과 계획수립 실습
22-10-27,목,10:10~11:00,요구사항 분석과 계획수립 실습
22-10-27,목,11:10~12:00,요구사항 분석과 계획수립 실습
22-10-27,목,12:10~13:00,요구사항 분석과 계획수립 실습
22-10-27,목,14:00~14:50,요구사항 분석과 계획수립 실습
22-10-27,목,15:00~15:50,요구사항 분석과 계획수립 실습
22-10-27,목,16:00~16:50,요구사항 분석과 계획수립 실습
22-10-28,금,09:10~10:00,웹프로그래밍 실습
22-10-28,금,10:10~11:00,웹프로그래밍 실습
22-10-28,금,11:10~12:00,웹프로그래밍 실습
22-10-28,금,12:10~13:00,웹프로그래밍 실습
22-10-28,금,14:00~14:50,웹프로그래밍 실습
22-10-28,금,15:00~15:50,웹프로그래밍 실습
22-11-1,화,09:10~10:00,요구사항 분석과 계획수립 실습
22-11-1,화,10:10~11:00,요구사항 분석과 계획수립 실습
22-11-1,화,11:10~12:00,요구사항 분석과 계획수립 실습
22-11-1,화,12:10~13:00,요구사항 분석과 계획수립 실습
22-11-1,화,14:00~14:50,요구사항 분석과 계획수립 실습
22-11-1,화,15:00~15:50,요구사항 분석과 계획수립 실습
22-11-1,화,16:00~16:50,요구사항 분석과 계획수립 실습
22-11-2,수,09:10~10:00,요구사항 분석과 계획수립 실습
22-11-2,수,10:10~11:00,요구사항 분석과 계획수립 실습
22-11-2,수,11:10~12:00,요구사항 분석과 계획수립 실습
22-11-2,수,12:10~13:00,요구사항 분석과 계획수립 실습
22-11-2,수,14:00~14:50,요구사항 분석과 계획수립 실습
22-11-2,수,15:00~15:50,요구사항 분석과 계획수립 실습
22-11-2,수,16:00~16:50,요구사항 분석과 계획수립 실습
22-11-3,목,09:10~10:00,요구사항 분석과 계획수립 실습
22-11-3,목,10:10~11:00,요구사항 분석과 계획수립 실습
22-11-3,목,11:10~12:00,요구사항 분석과 계획수립 실습
22-11-3,목,12:10~13:00,요구사항 분석과 계획수립 실습
22-11-3,목,14:00~14:50,웹프로그래밍 실습
22-11-3,목,15:00~15:50,웹프로그래밍 실습
22-11-3,목,16:00~16:50,웹프로그래밍 실습
22-11-4,금,09:10~10:00,요구사항 분석과 계획수립 실습
22-11-4,금,10:10~11:00,요구사항 분석과 계획수립 실습
22-11-4,금,11:10~12:00,요구사항 분석과 계획수립 실습
22-11-4,금,12:10~13:00,요구사항 분석과 계획수립 실습
22-11-4,금,14:00~14:50,요구사항 분석과 계획수립 실습
22-11-4,금,15:00~15:50,요구사항 분석과 계획수립 실습
22-11-7,월,09:10~10:00,요구사항 분석과 계획수립 실습
22-11-7,월,10:10~11:00,요구사항 분석과 계획수립 실습
22-11-7,월,11:10~12:00,요구사항 분석과 계획수립 실습
22-11-7,월,12:10~13:00,요구사항 분석과 계획수립 실습
22-11-7,월,14:00~14:50,요구사항 분석과 계획수립 실습
22-11-7,월,15:00~15:50,요구사항 분석과 계획수립 실습
22-11-8,화,09:10~10:00,웹프로그래밍 실습
22-11-8,화,10:10~11:00,웹프로그래밍 실습
22-11-8,화,11:10~12:00,웹프로그래밍 실습
22-11-8,화,12:10~13:00,웹프로그래밍 실습
22-11-8,화,14:00~14:50,웹프로그래밍 실습
22-11-8,화,15:00~15:50,웹프로그래밍 실습
22-11-8,화,16:00~16:50,웹프로그래밍 실습
22-11-9,수,09:10~10:00,요구사항 분석과 계획수립 실습
22-11-9,수,10:10~11:00,요구사항 분석과 계획수립 실습
22-11-9,수,11:10~12:00,요구사항 분석과 계획수립 실습
22-11-9,수,12:10~13:00,요구사항 분석과 계획수립 실습
22-11-9,수,14:00~14:50,요구사항 분석과 계획수립 실습
22-11-9,수,15:00~15:50,요구사항 분석과 계획수립 실습
22-11-9,수,16:00~16:50,요구사항 분석과 계획수립 실습
22-11-10,목,09:10~10:00,웹프로그래밍 실습
22-11-10,목,10:10~11:00,웹프로그래밍 실습
22-11-10,목,11:10~12:00,웹프로그래밍 실습
22-11-10,목,12:10~13:00,웹프로그래밍 실습
22-11-10,목,14:00~14:50,웹프로그래밍 실습
22-11-10,목,15:00~15:50,웹프로그래밍 실습
22-11-10,목,16:00~16:50,웹프로그래밍 실습
22-11-11,금,09:10~10:00,요구사항 분석과 계획수립 실습
22-11-11,금,10:10~11:00,요구사항 분석과 계획수립 실습
22-11-11,금,11:10~12:00,요구사항 분석과 계획수립 실습
22-11-11,금,12:10~13:00,요구사항 분석과 계획수립 실습
22-11-11,금,14:00~14:50,요구사항 분석과 계획수립 실습
22-11-11,금,15:00~15:50,요구사항 분석과 계획수립 실습
22-11-14,월,09:10~10:00,요구사항 분석과 계획수립 실습
22-11-14,월,10:10~11:00,요구사항 분석과 계획수립 실습
22-11-14,월,11:10~12:00,요구사항 분석과 계획수립 실습
22-11-14,월,12:10~13:00,요구사항 분석과 계획수립 실습
22-11-14,월,14:00~14:50,요구사항 분석과 계획수립 실습
22-11-14,월,15:00~15:50,요구사항 분석과 계획수립 실습
22-11-15,화,09:10~10:00,웹프로그래밍 실습
22-11-15,화,10:10~11:00,웹프로그래밍 실습
22-11-15,화,11:10~12:00,웹프로그래밍 실습
22-11-15,화,12:10~13:00,웹프로그래밍 실습
22-11-15,화,14:00~14:50,웹프로그래밍 실습
22-11-15,화,15:00~15:50,웹프로그래밍 실습
22-11-15,화,16:00~16:50,웹프로그래밍 실습
22-11-16,수,09:10~10:00,요구사항 분석과 계획수립 실습
22-11-16,수,10:10~11:00,요구사항 분석과 계획수립 실습
22-11-16,수,11:10~12:00,요구사항 분석과 계획수립 실습
22-11-16,수,12:10~13:00,요구사항 분석과 계획수립 실습
22-11-16,수,14:00~14:50,파이썬 프로그래밍
22-11-16,수,15:00~15:50,파이썬 프로그래밍
22-11-16,수,16:00~16:50,파이썬 프로그래밍
22-11-17,목,09:10~10:00,웹프로그래밍 실습
22-11-17,목,10:10~11:00,웹프로그래밍 실습
22-11-17,목,11:10~12:00,웹프로그래밍 실습
22-11-17,목,12:10~13:00,웹프로그래밍 실습
22-11-17,목,14:00~14:50,웹프로그래밍 실습
22-11-17,목,15:00~15:50,웹프로그래밍 실습
22-11-17,목,16:00~16:50,웹프로그래밍 실습
22-11-18,금,09:10~10:00,파이썬 프로그래밍
22-11-18,금,10:10~11:00,파이썬 프로그래밍
22-11-18,금,11:10~12:00,파이썬 프로그래밍
22-11-18,금,12:10~13:00,파이썬 프로그래밍
22-11-18,금,14:00~14:50,파이썬 프로그래밍
22-11-18,금,15:00~15:50,파이썬 프로그래밍
22-11-21,월,09:10~10:00,파이썬 프로그래밍
22-11-21,월,10:10~11:00,파이썬 프로그래밍
22-11-21,월,11:10~12:00,파이썬 프로그래밍
22-11-21,월,12:10~13:00,파이썬 프로그래밍
22-11-21,월,14:00~14:50,파이썬 프로그래밍
22-11-21,월,15:00~15:50,파이썬 프로그래밍
22-11-22,화,09:10~10:00,웹프로그래밍 실습
22-11-22,화,10:10~11:00,웹프로그래밍 실습
22-11-22,화,11:10~12:00,웹프로그래밍 실습
22-11-22,화,12:10~13:00,웹프로그래밍 실습
22-11-22,화,14:00~14:50,웹프로그래밍 실습
22-11-22,화,15:00~15:50,웹프로그래밍 실습
22-11-22,화,16:00~16:50,웹프로그래밍 실습
22-11-23,수,09:10~10:00,파이썬 프로그래밍
22-11-23,수,10:10~11:00,파이썬 프로그래밍
22-11-23,수,11:10~12:00,파이썬 프로그래밍
22-11-23,수,12:10~13:00,파이썬 프로그래밍
22-11-23,수,14:00~14:50,파이썬 프로그래밍
22-11-23,수,15:00~15:50,파이썬 프로그래밍
22-11-23,수,16:00~16:50,파이썬 프로그래밍
22-11-24,목,09:10~10:00,파이썬 프로그래밍
22-11-24,목,10:10~11:00,파이썬 프로그래밍
22-11-24,목,11:10~12:00,파이썬 프로그래밍
22-11-24,목,12:10~13:00,파이썬 프로그래밍
22-11-24,목,14:00~14:50,파이썬 프로그래밍
22-11-24,목,15:00~15:50,파이썬 프로그래밍
22-11-24,목,16:00~16:50,파이썬 프로그래밍
22-11-25,금,09:10~10:00,파이썬 프로그래밍
22-11-25,금,10:10~11:00,파이썬 프로그래밍
22-11-25,금,11:10~12:00,파이썬 프로그래밍
22-11-25,금,12:10~13:00,파이썬 프로그래밍
22-11-25,금,14:00~14:50,파이썬 프로그래밍
22-11-25,금,15:00~15:50,파이썬 프로그래밍
22-11-28,월,09:10~10:00,파이썬 프로그래밍
22-11-28,월,10:10~11:00,파이썬 프로그래밍
22-11-28,월,11:10~12:00,파이썬 프로그래밍
22-11-28,월,12:10~13:00,파이썬 프로그래밍
22-11-28,월,14:00~14:50,파이썬 프로그래밍
22-11-28,월,15:00~15:50,파이썬 프로그래밍
22-11-29,화,09:10~10:00,웹프로그래밍 실습
22-11-29,화,10:10~11:00,웹프로그래밍 실습
22-11-29,화,11:10~12:00,웹프로그래밍 실습
22-11-29,화,12:10~13:00,웹프로그래밍 실습
22-11-29,화,14:00~14:50,웹프로그래밍 실습
22-11-29,화,15:00~15:50,웹프로그래밍 실습
22-11-29,화,16:00~16:50,웹프로그래밍 실습
22-11-30,수,09:10~10:00,파이썬 프로그래밍
22-11-30,수,10:10~11:00,파이썬 프로그래밍
22-11-30,수,11:10~12:00,파이썬 프로그래밍
22-11-30,수,12:10~13:00,파이썬 프로그래밍
22-11-30,수,14:00~14:50,파이썬 프로그래밍
22-11-30,수,15:00~15:50,파이썬 프로그래밍
22-11-30,수,16:00~16:50,파이썬 프로그래밍
22-12-5,월,09:10~10:00,웹프로그래밍 실습
22-12-5,월,10:10~11:00,웹프로그래밍 실습
22-12-5,월,11:10~12:00,웹프로그래밍 실습
22-12-5,월,12:10~13:00,웹프로그래밍 실습
22-12-5,월,14:00~14:50,웹프로그래밍 실습
22-12-5,월,15:00~15:50,웹프로그래밍 실습
22-12-6,화,09:10~10:00,웹프로그래밍 실습
22-12-6,화,10:10~11:00,웹프로그래밍 실습
22-12-6,화,11:10~12:00,웹프로그래밍 실습
22-12-6,화,12:10~13:00,웹프로그래밍 실습
22-12-6,화,14:00~14:50,웹프로그래밍 실습
22-12-6,화,15:00~15:50,웹프로그래밍 실습
22-12-6,화,16:00~16:50,웹프로그래밍 실습
22-12-7,수,09:10~10:00,웹프로그래밍 실습
22-12-7,수,10:10~11:00,웹프로그래밍 실습
22-12-7,수,11:10~12:00,웹프로그래밍 실습
22-12-7,수,12:10~13:00,웹프로그래밍 실습
22-12-7,수,14:00~14:50,웹프로그래밍 실습
22-12-7,수,15:00~15:50,알고리즘 프로그래밍
22-12-7,수,16:00~16:50,알고리즘 프로그래밍
22-12-8,목,09:10~10:00,파이썬 프로그래밍
22-12-8,목,10:10~11:00,파이썬 프로그래밍
22-12-8,목,11:10~12:00,파이썬 프로그래밍
22-12-8,목,12:10~13:00,알고리즘 프로그래밍
22-12-8,목,14:00~14:50,알고리즘 프로그래밍
22-12-8,목,15:00~15:50,알고리즘 프로그래밍
22-12-8,목,16:00~16:50,알고리즘 프로그래밍
22-12-9,금,09:10~10:00,알고리즘 프로그래밍
22-12-9,금,10:10~11:00,알고리즘 프로그래밍
22-12-9,금,11:10~12:00,알고리즘 프로그래밍
22-12-9,금,12:10~13:00,알고리즘 프로그래밍
22-12-9,금,14:00~14:50,알고리즘 프로그래밍
22-12-9,금,15:00~15:50,알고리즘 프로그래밍
22-12-12,월,09:10~10:00,알고리즘 프로그래밍
22-12-12,월,10:10~11:00,알고리즘 프로그래밍
22-12-12,월,11:10~12:00,알고리즘 프로그래밍
22-12-12,월,12:10~13:00,알고리즘 프로그래밍
22-12-12,월,14:00~14:50,알고리즘 프로그래밍
22-12-12,월,15:00~15:50,알고리즘 프로그래밍
22-12-13,화,09:10~10:00,알고리즘 프로그래밍
22-12-13,화,10:10~11:00,알고리즘 프로그래밍
22-12-13,화,11:10~12:00,알고리즘 프로그래밍
22-12-13,화,12:10~13:00,알고리즘 프로그래밍
22-12-13,화,14:00~14:50,알고리즘 프로그래밍
22-12-13,화,15:00~15:50,알고리즘 프로그래밍
22-12-13,화,16:00~16:50,알고리즘 프로그래밍
22-12-14,수,09:10~10:00,파이썬 프로그래밍
22-12-14,수,10:10~11:00,파이썬 프로그래밍
22-12-14,수,11:10~12:00,파이썬 프로그래밍
22-12-14,수,12:10~13:00,파이썬 프로그래밍
22-12-14,수,14:00~14:50,파이썬 프로그래밍
22-12-14,수,15:00~15:50,파이썬 프로그래밍
22-12-14,수,16:00~16:50,파이썬 프로그래밍
22-12-15,목,09:10~10:00,알고리즘 프로그래밍
22-12-15,목,10:10~11:00,알고리즘 프로그래밍
22-12-15,목,11:10~12:00,알고리즘 프로그래밍
22-12-15,목,12:10~13:00,알고리즘 프로그래밍
22-12-15,목,14:00~14:50,알고리즘 프로그래밍
22-12-15,목,15:00~15:50,파이썬 프로그래밍
22-12-15,목,16:00~16:50,파이썬 프로그래밍
22-12-16,금,09:10~10:00,알고리즘 프로그래밍
22-12-16,금,10:10~11:00,알고리즘 프로그래밍
22-12-16,금,11:10~12:00,알고리즘 프로그래밍
22-12-16,금,12:10~13:00,알고리즘 프로그래밍
22-12-16,금,14:00~14:50,알고리즘 프로그래밍
22-12-16,금,15:00~15:50,알고리즘 프로그래밍
22-12-19,월,09:10~10:00,알고리즘 프로그래밍
22-12-19,월,10:10~11:00,알고리즘 프로그래밍
22-12-19,월,11:10~12:00,파이썬 프로그래밍
22-12-19,월,12:10~13:00,파이썬 프로그래밍
22-12-19,월,14:00~14:50,파이썬 프로그래밍
22-12-19,월,15:00~15:50,파이썬 프로그래밍
22-12-20,화,09:10~10:00,파이썬 프로그래밍
22-12-20,화,10:10~11:00,파이썬 프로그래밍
22-12-20,화,11:10~12:00,파이썬 프로그래밍
22-12-20,화,12:10~13:00,파이썬 프로그래밍
22-12-20,화,14:00~14:50,파이썬 프로그래밍
22-12-20,화,15:00~15:50,파이썬 프로그래밍
22-12-20,화,16:00~16:50,파이썬 프로그래밍
22-12-21,수,09:10~10:00,파이썬 프로그래밍
22-12-21,수,10:10~11:00,파이썬 프로그래밍
22-12-21,수,11:10~12:00,파이썬 프로그래밍
22-12-21,수,12:10~13:00,파이썬 프로그래밍
22-12-21,수,14:00~14:50,파이썬 프로그래밍
